"State or other
geographic area",Beer,Wine,Spirits,All beverages,"U.S. decile for all beverages
"
Minnesota.1983,1.37 ,0.27 ,1.10 ,2.74 ,6 
Minnesota.1982,1.36 ,0.27 ,1.11 ,2.75 ,6 
Minnesota.1981,1.39 ,0.27 ,1.18 ,2.83 ,5 
Minnesota.1980,1.40 ,0.26 ,1.20 ,2.85 ,5 
Minnesota.1979,1.35 ,0.24 ,1.16 ,2.75 ,5 
Minnesota.1978,1.31 ,0.23 ,1.15 ,2.69 ,5 
Minnesota.1977,1.30 ,0.20 ,1.15 ,2.65 ,5 
Mississippi.2009,1.41 ,0.11 ,0.71 ,2.24 ,7 
Mississippi.2008,1.45 ,0.12 ,0.70 ,2.28 ,7 
Mississippi.2007,1.46 ,0.12 ,0.68 ,2.26 ,7 
Mississippi.2006,1.46 ,0.12 ,0.67 ,2.25 ,6 
Mississippi.2005,1.40 ,0.12 ,0.65 ,2.17 ,7 
Mississippi.2004,1.39 ,0.12 ,0.63 ,2.13 ,7 
Mississippi.2003,1.40 ,0.12 ,0.62 ,2.14 ,7 
Mississippi.2002,1.40 ,0.12 ,0.61 ,2.12 ,7 
Mississippi.2001,1.39 ,0.11 ,0.60 ,2.11 ,7 
Mississippi.2000,1.44 ,0.09 ,0.60 ,2.13 ,7 
Mississippi.1999,1.45 ,0.10 ,0.61 ,2.15 ,7 
Mississippi.1998,1.40 ,0.09 ,0.59 ,2.08 ,7 
Mississippi.1997,1.37 ,0.09 ,0.61 ,2.07 ,7 
Mississippi.1996,1.37 ,0.09 ,0.62 ,2.08 ,7 
Mississippi.1995,1.36 ,0.09 ,0.61 ,2.06 ,7 
Mississippi.1994,1.28 ,0.08 ,0.63 ,2.00 ,7 
Mississippi.1993,1.37 ,0.10 ,0.63 ,2.11 ,7 
Mississippi.1992,1.35 ,0.09 ,0.63 ,2.08 ,8 
Mississippi.1991,1.32 ,0.09 ,0.64 ,2.05 ,8 
Mississippi.1990,1.34 ,0.09 ,0.65 ,2.08 ,8 
Mississippi.1989,1.26 ,0.09 ,0.65 ,2.00 ,9 
Mississippi.1988,1.28 ,0.09 ,0.66 ,2.03 ,9 
Mississippi.1987,1.26 ,0.09 ,0.66 ,2.01 ,9 
Mississippi.1986,1.26 ,0.10 ,0.68 ,2.04 ,9 
Mississippi.1985,1.21 ,0.10 ,0.73 ,2.04 ,9 
Mississippi.1984,1.19 ,0.11 ,0.77 ,2.06 ,9 
Mississippi.1983,1.19 ,0.11 ,0.79 ,2.09 ,9 
Mississippi.1982,1.19 ,0.11 ,0.82 ,2.11 ,9 
Mississippi.1981,1.19 ,0.11 ,0.84 ,2.14 ,9 
Mississippi.1980,1.13 ,0.10 ,0.86 ,2.09 ,9 
Mississippi.1979,1.15 ,0.10 ,0.84 ,2.09 ,9 
Mississippi.1978,1.16 ,0.10 ,0.91 ,2.18 ,8 
Mississippi.1977,1.08 ,0.11 ,0.86 ,2.05 ,8 
Missouri.2009,1.30 ,0.30 ,0.83 ,2.42 ,5 
Missouri.2008,1.32 ,0.30 ,0.80 ,2.42 ,5 
Missouri.2007,1.33 ,0.30 ,0.78 ,2.41 ,5 
Missouri.2006,1.33 ,0.28 ,0.76 ,2.37 ,5 
Missouri.2005,1.30 ,0.27 ,0.72 ,2.29 ,6 
Missouri.2004,1.32 ,0.26 ,0.71 ,2.30 ,5 
Missouri.2003,1.33 ,0.26 ,0.69 ,2.27 ,6 
Missouri.2002,1.47 ,0.25 ,0.67 ,2.39 ,4 
Missouri.2001,1.34 ,0.23 ,0.67 ,2.25 ,6 
Missouri.2000,1.35 ,0.23 ,0.67 ,2.25 ,5 
Missouri.1999,1.35 ,0.23 ,0.66 ,2.23 ,6 
Missouri.1998,1.33 ,0.23 ,0.63 ,2.18 ,6 
Missouri.1997,1.30 ,0.22 ,0.63 ,2.15 ,6 
Missouri.1996,1.31 ,0.22 ,0.57 ,2.09 ,7 
Missouri.1995,1.31 ,0.20 ,0.62 ,2.14 ,6 
Missouri.1994,1.36 ,0.19 ,0.66 ,2.21 ,6 
Missouri.1993,1.33 ,0.20 ,0.67 ,2.20 ,6 
Missouri.1992,1.34 ,0.21 ,0.69 ,2.24 ,6 
Missouri.1991,1.35 ,0.22 ,0.64 ,2.20 ,7 
Missouri.1990,1.37 ,0.22 ,0.70 ,2.30 ,7 
Missouri.1989,1.33 ,0.22 ,0.69 ,2.24 ,7 
Missouri.1988,1.33 ,0.25 ,0.69 ,2.28 ,7 
Missouri.1987,1.36 ,0.27 ,0.72 ,2.35 ,7 
Missouri.1986,1.36 ,0.28 ,0.72 ,2.36 ,7 
Missouri.1985,1.33 ,0.26 ,0.76 ,2.36 ,7 
Missouri.1984,1.34 ,0.25 ,0.68 ,2.27 ,8 
Missouri.1983,1.37 ,0.22 ,0.78 ,2.37 ,8 
Missouri.1982,1.38 ,0.21 ,0.79 ,2.38 ,7 
Missouri.1981,1.40 ,0.21 ,0.83 ,2.45 ,7 
Missouri.1980,1.39 ,0.20 ,0.84 ,2.44 ,7 
Missouri.1979,1.37 ,0.20 ,0.86 ,2.43 ,7 
Missouri.1978,1.31 ,0.20 ,0.89 ,2.40 ,7 
Missouri.1977,1.23 ,0.19 ,0.83 ,2.25 ,8 
Montana.2009,1.66 ,0.45 ,0.88 ,2.99 ,2 
Montana.2008,1.68 ,0.44 ,0.87 ,2.99 ,2 
Montana.2007,1.68 ,0.43 ,0.86 ,2.97 ,2 
Montana.2006,1.64 ,0.41 ,0.83 ,2.88 ,2 
Montana.2005,1.53 ,0.35 ,0.78 ,2.65 ,2 
Montana.2004,1.54 ,0.34 ,0.74 ,2.63 ,2 
Montana.2003,1.55 ,0.33 ,0.72 ,2.59 ,2 
Montana.2002,1.61 ,0.33 ,0.70 ,2.64 ,2 
Montana.2001,1.57 ,0.30 ,0.68 ,2.55 ,2 
Montana.2000,1.55 ,0.29 ,0.68 ,2.53 ,2 
Montana.1999,1.56 ,0.29 ,0.67 ,2.52 ,2 
Montana.1998,1.51 ,0.28 ,0.65 ,2.44 ,2 
Montana.1997,1.49 ,0.29 ,0.63 ,2.42 ,3 
Montana.1996,1.49 ,0.27 ,0.64 ,2.40 ,3 
Montana.1995,1.49 ,0.26 ,0.78 ,2.54 ,2 
Montana.1994,1.57 ,0.24 ,0.70 ,2.51 ,2 
Montana.1993,1.49 ,0.25 ,0.73 ,2.47 ,3 
Montana.1992,1.59 ,0.26 ,0.75 ,2.61 ,2 
Montana.1991,1.61 ,0.28 ,0.76 ,2.64 ,3 
Montana.1990,1.60 ,0.29 ,0.77 ,2.67 ,3 
Montana.1989,1.56 ,0.29 ,0.72 ,2.57 ,4 
Montana.1988,1.59 ,0.32 ,0.76 ,2.66 ,4 
Montana.1987,1.57 ,0.33 ,0.77 ,2.67 ,4 
Montana.1986,1.58 ,0.34 ,0.81 ,2.73 ,4 
Montana.1985,1.60 ,0.33 ,0.88 ,2.81 ,4 
Montana.1984,1.70 ,0.32 ,0.93 ,2.95 ,3 
Montana.1983,1.79 ,0.32 ,0.99 ,3.09 ,3 
Montana.1982,1.82 ,0.32 ,1.02 ,3.17 ,3 
Montana.1981,1.90 ,0.33 ,1.05 ,3.28 ,3 
Montana.1980,1.82 ,0.35 ,1.04 ,3.21 ,3 
Montana.1979,1.83 ,0.41 ,1.05 ,3.29 ,3 
Montana.1978,1.82 ,0.20 ,1.07 ,3.10 ,3 
Montana.1977,1.83 ,0.20 ,1.10 ,3.12 ,3 
Nebraska.2009,1.46 ,0.20 ,0.68 ,2.35 ,6 
Nebraska.2008,1.47 ,0.21 ,0.68 ,2.36 ,6 
Nebraska.2007,1.45 ,0.21 ,0.67 ,2.33 ,6 
Nebraska.2006,1.43 ,0.21 ,0.71 ,2.35 ,6 
Nebraska.2005,1.41 ,0.20 ,0.68 ,2.29 ,5 
Nebraska.2004,1.43 ,0.19 ,0.64 ,2.26 ,6 
Nebraska.2003,1.42 ,0.18 ,0.63 ,2.23 ,6 
Nebraska.2002,1.45 ,0.17 ,0.61 ,2.23 ,6 
Nebraska.2001,1.43 ,0.16 ,0.60 ,2.19 ,6 
Nebraska.2000,1.44 ,0.17 ,0.62 ,2.23 ,6 
Nebraska.1999,1.42 ,0.17 ,0.60 ,2.19 ,6 
Nebraska.1998,1.39 ,0.18 ,0.58 ,2.16 ,6 
Nebraska.1997,1.35 ,0.18 ,0.56 ,2.09 ,7 
Nebraska.1996,1.35 ,0.18 ,0.57 ,2.11 ,6 
Nebraska.1995,1.35 ,0.19 ,0.57 ,2.10 ,7 
Nebraska.1994,1.39 ,0.18 ,0.57 ,2.14 ,7 
Nebraska.1993,1.37 ,0.18 ,0.59 ,2.14 ,7 
Nebraska.1992,1.37 ,0.18 ,0.61 ,2.16 ,7 
Nebraska.1991,1.40 ,0.18 ,0.61 ,2.19 ,7 
Nebraska.1990,1.41 ,0.20 ,0.64 ,2.25 ,7 
Nebraska.1989,1.37 ,0.19 ,0.62 ,2.18 ,7 
Nebraska.1988,1.37 ,0.22 ,0.65 ,2.23 ,7 
Nebraska.1987,1.40 ,0.22 ,0.65 ,2.27 ,7 
Nebraska.1986,1.38 ,0.23 ,0.67 ,2.28 ,7 
Nebraska.1985,1.40 ,0.22 ,0.75 ,2.37 ,7 
Nebraska.1984,1.44 ,0.20 ,0.76 ,2.41 ,7 
Nebraska.1983,1.49 ,0.21 ,0.79 ,2.49 ,7 
Nebraska.1982,1.50 ,0.28 ,0.58 ,2.37 ,7 
Nebraska.1981,1.57 ,0.20 ,0.88 ,2.66 ,6 
Nebraska.1980,1.56 ,0.19 ,0.89 ,2.64 ,6 
Nebraska.1979,1.50 ,0.18 ,0.88 ,2.57 ,7 
Nebraska.1978,1.47 ,0.18 ,0.89 ,2.54 ,7 
Nebraska.1977,1.45 ,0.17 ,0.91 ,2.53 ,6 
Nevada.2009,1.57 ,0.58 ,1.15 ,3.30 ,1 
Nevada.2008,1.68 ,0.63 ,1.33 ,3.64 ,1 
Nevada.2007,1.71 ,0.64 ,1.27 ,3.61 ,1 
Nevada.2006,1.74 ,0.66 ,1.30 ,3.70 ,1 
Nevada.2005,1.71 ,0.62 ,1.23 ,3.56 ,1 
Nevada.2004,1.75 ,0.64 ,1.26 ,3.66 ,1 
Nevada.2003,1.76 ,0.62 ,1.25 ,3.63 ,1 
Nevada.2002,1.75 ,0.61 ,1.24 ,3.60 ,1 
Nevada.2001,1.81 ,0.60 ,1.22 ,3.63 ,1 
Nevada.2000,1.79 ,0.62 ,1.26 ,3.67 ,1 
Nevada.1999,1.82 ,0.63 ,1.29 ,3.74 ,1 
Nevada.1998,1.80 ,0.58 ,1.23 ,3.62 ,1 
Nevada.1997,1.84 ,0.58 ,1.30 ,3.72 ,1 
Nevada.1996,1.91 ,0.59 ,1.39 ,3.89 ,1 
Nevada.1995,1.87 ,0.58 ,1.39 ,3.84 ,1 
Nevada.1994,1.93 ,0.57 ,1.51 ,4.00 ,1 
Nevada.1993,1.95 ,0.58 ,1.54 ,4.06 ,1 
Nevada.1992,2.02 ,0.62 ,1.61 ,4.25 ,1 
Nevada.1991,2.05 ,0.63 ,1.63 ,4.31 ,1 
Nevada.1990,2.17 ,0.69 ,1.92 ,4.78 ,1 
Nevada.1989,2.18 ,0.73 ,1.92 ,4.83 ,1 
Nevada.1988,2.13 ,0.78 ,2.00 ,4.91 ,1 
Nevada.1987,2.05 ,0.84 ,2.09 ,4.99 ,1 
Nevada.1986,2.07 ,0.88 ,2.11 ,5.05 ,1 
Nevada.1985,1.96 ,0.84 ,2.18 ,4.99 ,1 
Nevada.1984,2.01 ,0.82 ,2.36 ,5.19 ,1 
Nevada.1983,1.98 ,0.79 ,2.45 ,5.22 ,1 
Nevada.1982,1.99 ,0.77 ,2.50 ,5.25 ,1 
Nevada.1981,2.08 ,0.80 ,2.71 ,5.59 ,1 
Nevada.1980,2.09 ,0.79 ,2.94 ,5.82 ,1 
Nevada.1979,2.28 ,0.88 ,3.28 ,6.44 ,1 
Nevada.1978,2.20 ,0.85 ,3.65 ,6.69 ,1 
Nevada.1977,2.15 ,0.83 ,3.85 ,6.84 ,1 
NewHampshire.2009,1.72 ,0.84 ,1.82 ,4.38 ,1 
NewHampshire.2008,1.71 ,0.81 ,1.79 ,4.31 ,1 
NewHampshire.2007,1.74 ,0.74 ,1.75 ,4.22 ,1 
NewHampshire.2006,1.73 ,0.72 ,1.76 ,4.21 ,1 
NewHampshire.2005,1.72 ,0.71 ,1.68 ,4.11 ,1 
NewHampshire.2004,1.71 ,0.70 ,1.65 ,4.07 ,1 
NewHampshire.2003,1.72 ,0.70 ,1.61 ,4.03 ,1 
NewHampshire.2002,1.73 ,0.69 ,1.63 ,4.05 ,1 
NewHampshire.2001,1.74 ,0.65 ,1.61 ,4.00 ,1 
NewHampshire.2000,1.75 ,0.56 ,1.69 ,4.00 ,1 
NewHampshire.1999,1.75 ,0.56 ,1.70 ,4.01 ,1 
NewHampshire.1998,1.72 ,0.54 ,1.73 ,3.98 ,1 
NewHampshire.1997,1.73 ,0.55 ,1.76 ,4.04 ,1 
NewHampshire.1996,1.73 ,0.55 ,1.85 ,4.13 ,1 
NewHampshire.1995,1.74 ,0.51 ,1.87 ,4.12 ,1 
NewHampshire.1994,1.75 ,0.48 ,1.90 ,4.13 ,1 
NewHampshire.1993,1.83 ,0.54 ,2.01 ,4.38 ,1 
NewHampshire.1992,1.81 ,0.52 ,1.96 ,4.30 ,1 
NewHampshire.1991,1.85 ,0.49 ,1.96 ,4.30 ,1 
NewHampshire.1990,1.85 ,0.49 ,1.97 ,4.30 ,1 
NewHampshire.1989,1.87 ,0.50 ,1.99 ,4.37 ,1 
NewHampshire.1988,1.91 ,0.49 ,1.94 ,4.33 ,1 
NewHampshire.1987,1.93 ,0.50 ,1.98 ,4.41 ,1 
NewHampshire.1986,1.93 ,0.52 ,2.06 ,4.51 ,1 
NewHampshire.1985,1.99 ,0.53 ,2.21 ,4.73 ,1 
NewHampshire.1984,1.99 ,0.59 ,2.33 ,4.91 ,1 
NewHampshire.1983,2.17 ,0.56 ,2.35 ,5.08 ,1 
NewHampshire.1982,1.89 ,0.58 ,2.34 ,4.81 ,1 
NewHampshire.1981,1.89 ,0.59 ,2.44 ,4.92 ,1 
NewHampshire.1980,2.21 ,0.69 ,2.86 ,5.76 ,1 
NewHampshire.1979,1.98 ,0.62 ,2.61 ,5.20 ,1 
NewHampshire.1978,1.99 ,0.54 ,2.94 ,5.46 ,1 
NewHampshire.1977,1.89 ,0.50 ,2.93 ,5.32 ,1 
NewJersey.2009,0.92 ,0.57 ,0.87 ,2.35 ,5 
NewJersey.2008,0.94 ,0.55 ,0.86 ,2.35 ,6 
NewJersey.2007,0.93 ,0.55 ,0.86 ,2.34 ,6 
NewJersey.2006,0.94 ,0.53 ,0.84 ,2.32 ,6 
NewJersey.2005,0.95 ,0.51 ,0.82 ,2.28 ,6 
NewJersey.2004,0.96 ,0.52 ,0.82 ,2.29 ,6 
NewJersey.2003,0.95 ,0.50 ,0.79 ,2.24 ,6 
NewJersey.2002,0.98 ,0.49 ,0.77 ,2.24 ,6 
NewJersey.2001,0.99 ,0.47 ,0.75 ,2.20 ,6 
NewJersey.2000,0.96 ,0.47 ,0.77 ,2.19 ,6 
NewJersey.1999,0.97 ,0.46 ,0.71 ,2.14 ,7 
NewJersey.1998,0.98 ,0.46 ,0.69 ,2.12 ,7 
NewJersey.1997,0.98 ,0.42 ,0.74 ,2.15 ,6 
NewJersey.1996,1.00 ,0.44 ,0.76 ,2.20 ,6 
NewJersey.1995,1.03 ,0.44 ,0.75 ,2.22 ,5 
NewJersey.1994,1.04 ,0.43 ,0.79 ,2.27 ,5 
NewJersey.1993,1.07 ,0.42 ,0.79 ,2.29 ,5 
NewJersey.1992,1.07 ,0.44 ,0.83 ,2.34 ,5 
NewJersey.1991,1.09 ,0.43 ,0.82 ,2.34 ,6 
NewJersey.1990,1.15 ,0.48 ,0.95 ,2.58 ,4 
NewJersey.1989,1.13 ,0.50 ,0.96 ,2.59 ,3 
NewJersey.1988,1.15 ,0.51 ,0.93 ,2.58 ,4 
NewJersey.1987,1.18 ,0.54 ,1.01 ,2.72 ,4 
NewJersey.1986,1.18 ,0.56 ,1.03 ,2.77 ,4 
NewJersey.1985,1.18 ,0.55 ,1.08 ,2.81 ,4 
NewJersey.1984,1.19 ,0.55 ,1.10 ,2.83 ,4 
NewJersey.1983,1.21 ,0.52 ,1.13 ,2.86 ,4 
NewJersey.1982,1.22 ,0.52 ,1.13 ,2.87 ,4 
NewJersey.1981,1.22 ,0.51 ,1.15 ,2.87 ,5 
NewJersey.1980,1.23 ,0.47 ,1.13 ,2.83 ,5 
NewJersey.1979,1.18 ,0.43 ,1.10 ,2.71 ,6 
NewJersey.1978,1.17 ,0.42 ,1.10 ,2.69 ,6 
NewJersey.1977,1.16 ,0.40 ,1.13 ,2.69 ,5 
NewMexico.2009,1.37 ,0.32 ,0.74 ,2.42 ,5 
NewMexico.2008,1.43 ,0.31 ,0.72 ,2.47 ,5 
NewMexico.2007,1.41 ,0.31 ,0.71 ,2.43 ,5 
NewMexico.2006,1.38 ,0.31 ,0.70 ,2.39 ,5 
NewMexico.2005,1.48 ,0.29 ,0.67 ,2.44 ,4 
NewMexico.2004,1.45 ,0.25 ,0.66 ,2.35 ,5 
NewMexico.2003,1.52 ,0.27 ,0.61 ,2.40 ,4 
NewMexico.2002,1.53 ,0.26 ,0.61 ,2.40 ,3 
NewMexico.2001,1.54 ,0.25 ,0.61 ,2.39 ,3 
NewMexico.2000,1.53 ,0.25 ,0.61 ,2.38 ,3 
NewMexico.1999,1.53 ,0.25 ,0.59 ,2.36 ,4 
NewMexico.1998,1.49 ,0.24 ,0.58 ,2.31 ,4 
NewMexico.1997,1.51 ,0.24 ,0.58 ,2.33 ,3 
NewMexico.1996,1.55 ,0.24 ,0.59 ,2.38 ,3 
NewMexico.1995,1.56 ,0.24 ,0.60 ,2.40 ,3 
NewMexico.1994,1.46 ,0.19 ,0.60 ,2.25 ,5 
NewMexico.1993,1.53 ,0.23 ,0.63 ,2.39 ,3 
NewMexico.1992,1.56 ,0.25 ,0.66 ,2.47 ,4 
NewMexico.1991,1.64 ,0.26 ,0.64 ,2.54 ,3 
NewMexico.1990,1.68 ,0.28 ,0.68 ,2.64 ,3 
NewMexico.1989,1.64 ,0.29 ,0.65 ,2.58 ,4 
NewMexico.1988,1.63 ,0.33 ,0.67 ,2.64 ,4 
NewMexico.1987,1.63 ,0.35 ,0.67 ,2.65 ,4 
NewMexico.1986,1.64 ,0.35 ,0.70 ,2.70 ,4 
NewMexico.1985,1.70 ,0.36 ,0.77 ,2.83 ,4 
NewMexico.1984,1.71 ,0.28 ,0.76 ,2.75 ,5 
NewMexico.1983,1.72 ,0.31 ,0.98 ,3.00 ,4 
NewMexico.1982,1.72 ,0.34 ,0.94 ,3.00 ,4 
NewMexico.1981,1.74 ,0.32 ,0.95 ,3.01 ,4 
NewMexico.1980,1.66 ,0.32 ,1.00 ,2.99 ,4 
NewMexico.1979,1.71 ,0.30 ,1.01 ,3.02 ,4 
NewMexico.1978,1.68 ,0.32 ,0.98 ,2.99 ,4 
NewMexico.1977,1.65 ,0.32 ,0.96 ,2.93 ,4 
NewYork.2009,0.91 ,0.46 ,0.69 ,2.06 ,8 
NewYork.2008,0.92 ,0.47 ,0.67 ,2.05 ,8 
NewYork.2007,0.92 ,0.46 ,0.68 ,2.06 ,8 
NewYork.2006,0.88 ,0.45 ,0.65 ,1.99 ,9 
NewYork.2005,0.90 ,0.43 ,0.64 ,1.97 ,8 
NewYork.2004,0.91 ,0.41 ,0.62 ,1.95 ,9 
NewYork.2003,0.93 ,0.40 ,0.61 ,1.93 ,9 
NewYork.2002,0.95 ,0.38 ,0.59 ,1.91 ,9 
NewYork.2001,0.96 ,0.37 ,0.56 ,1.88 ,9 
NewYork.2000,0.92 ,0.38 ,0.58 ,1.88 ,9 
NewYork.1999,0.93 ,0.37 ,0.56 ,1.85 ,9 
NewYork.1998,0.95 ,0.38 ,0.51 ,1.84 ,9 
NewYork.1997,0.94 ,0.37 ,0.57 ,1.87 ,8 
NewYork.1996,0.97 ,0.36 ,0.57 ,1.90 ,8 
NewYork.1995,0.98 ,0.38 ,0.57 ,1.93 ,8 
NewYork.1994,0.98 ,0.35 ,0.60 ,1.93 ,8 
NewYork.1993,1.00 ,0.35 ,0.62 ,1.98 ,8 
NewYork.1992,1.04 ,0.37 ,0.68 ,2.09 ,8 
NewYork.1991,1.09 ,0.37 ,0.69 ,2.14 ,7 
NewYork.1990,1.13 ,0.41 ,0.76 ,2.30 ,7 
NewYork.1989,1.12 ,0.42 ,0.82 ,2.36 ,7 
NewYork.1988,1.15 ,0.45 ,0.87 ,2.47 ,6 
NewYork.1987,1.15 ,0.48 ,0.90 ,2.53 ,5 
NewYork.1986,1.13 ,0.50 ,0.92 ,2.55 ,6 
NewYork.1985,1.14 ,0.49 ,0.98 ,2.62 ,5 
NewYork.1984,1.15 ,0.49 ,1.03 ,2.67 ,5 
NewYork.1983,1.23 ,0.49 ,1.05 ,2.77 ,5 
NewYork.1982,1.26 ,0.48 ,1.10 ,2.84 ,5 
NewYork.1981,1.25 ,0.46 ,1.12 ,2.83 ,5 
NewYork.1980,1.28 ,0.46 ,1.18 ,2.91 ,5 
NewYork.1979,1.21 ,0.44 ,1.17 ,2.82 ,5 
NewYork.1978,1.18 ,0.42 ,1.17 ,2.77 ,5 
NewYork.1977,1.18 ,0.38 ,1.17 ,2.74 ,5 
NorthCarolina.2009,1.10 ,0.34 ,0.58 ,2.02 ,8 
NorthCarolina.2008,1.14 ,0.34 ,0.58 ,2.06 ,8 
NorthCarolina.2007,1.16 ,0.33 ,0.56 ,2.06 ,9 
NorthCarolina.2006,1.15 ,0.33 ,0.55 ,2.02 ,8 
NorthCarolina.2005,1.13 ,0.30 ,0.54 ,1.97 ,9 
NorthCarolina.2004,1.17 ,0.30 ,0.53 ,2.00 ,8 
NorthCarolina.2003,1.21 ,0.27 ,0.52 ,2.00 ,8 
NorthCarolina.2002,1.25 ,0.27 ,0.50 ,2.02 ,8 
NorthCarolina.2001,1.23 ,0.25 ,0.51 ,2.00 ,8 
NorthCarolina.2000,1.19 ,0.23 ,0.52 ,1.94 ,8 
NorthCarolina.1999,1.16 ,0.24 ,0.51 ,1.90 ,8 
NorthCarolina.1998,1.13 ,0.23 ,0.50 ,1.87 ,8 
NorthCarolina.1997,1.15 ,0.23 ,0.51 ,1.89 ,8 
NorthCarolina.1996,1.14 ,0.24 ,0.52 ,1.90 ,8 
NorthCarolina.1995,1.12 ,0.22 ,0.53 ,1.86 ,8 
NorthCarolina.1994,1.14 ,0.21 ,0.54 ,1.89 ,8 
NorthCarolina.1993,1.14 ,0.22 ,0.56 ,1.92 ,9 
NorthCarolina.1992,1.14 ,0.23 ,0.59 ,1.96 ,8 
NorthCarolina.1991,1.11 ,0.24 ,0.60 ,1.96 ,9 
NorthCarolina.1990,1.16 ,0.27 ,0.65 ,2.08 ,9 
NorthCarolina.1989,1.13 ,0.27 ,0.66 ,2.06 ,8 
NorthCarolina.1988,1.12 ,0.28 ,0.68 ,2.09 ,8 
NorthCarolina.1987,1.11 ,0.28 ,0.71 ,2.10 ,8 
NorthCarolina.1986,1.12 ,0.30 ,0.74 ,2.15 ,8 
NorthCarolina.1985,1.09 ,0.27 ,0.76 ,2.13 ,8 
NorthCarolina.1984,1.11 ,0.24 ,0.78 ,2.13 ,8 
NorthCarolina.1983,1.10 ,0.22 ,0.80 ,2.12 ,9 
NorthCarolina.1982,1.07 ,0.21 ,0.85 ,2.13 ,9 
NorthCarolina.1981,1.10 ,0.21 ,0.86 ,2.17 ,9 
NorthCarolina.1980,1.11 ,0.20 ,0.86 ,2.17 ,9 
NorthCarolina.1979,1.08 ,0.22 ,0.88 ,2.18 ,8 
NorthCarolina.1978,1.06 ,0.20 ,0.86 ,2.12 ,9 
NorthCarolina.1977,1.01 ,0.20 ,0.84 ,2.05 ,8 
NorthDakota.2009,1.63 ,0.25 ,1.16 ,3.03 ,1 
NorthDakota.2008,1.63 ,0.24 ,1.14 ,3.00 ,1 
NorthDakota.2007,1.57 ,0.23 ,1.08 ,2.88 ,2 
NorthDakota.2006,1.52 ,0.21 ,1.01 ,2.74 ,2 
NorthDakota.2005,1.51 ,0.19 ,0.95 ,2.65 ,2 
NorthDakota.2004,1.50 ,0.18 ,0.83 ,2.50 ,3 
NorthDakota.2003,1.54 ,0.17 ,0.86 ,2.56 ,2 
NorthDakota.2002,1.51 ,0.16 ,0.84 ,2.51 ,3 
NorthDakota.2001,1.46 ,0.15 ,0.80 ,2.41 ,3 
NorthDakota.2000,1.47 ,0.15 ,0.79 ,2.41 ,3 
NorthDakota.1999,1.49 ,0.15 ,0.78 ,2.42 ,3 
NorthDakota.1998,1.45 ,0.13 ,0.76 ,2.35 ,3 
NorthDakota.1997,1.40 ,0.13 ,0.77 ,2.30 ,4 
NorthDakota.1996,1.40 ,0.13 ,0.77 ,2.29 ,4 
NorthDakota.1995,1.35 ,0.16 ,0.77 ,2.28 ,4 
NorthDakota.1994,1.39 ,0.15 ,0.78 ,2.32 ,4 
NorthDakota.1993,1.37 ,0.15 ,0.84 ,2.36 ,4 
NorthDakota.1992,1.38 ,0.15 ,0.85 ,2.39 ,5 
NorthDakota.1991,1.43 ,0.16 ,0.86 ,2.44 ,4 
NorthDakota.1990,1.47 ,0.17 ,0.93 ,2.56 ,4 
NorthDakota.1989,1.38 ,0.17 ,0.84 ,2.38 ,6 
NorthDakota.1988,1.38 ,0.19 ,0.86 ,2.43 ,6 
NorthDakota.1987,1.35 ,0.20 ,0.87 ,2.42 ,6 
NorthDakota.1986,1.32 ,0.22 ,0.86 ,2.40 ,7 
NorthDakota.1985,1.33 ,0.19 ,0.96 ,2.48 ,7 
NorthDakota.1984,1.40 ,0.17 ,0.98 ,2.55 ,6 
NorthDakota.1983,1.48 ,0.17 ,1.05 ,2.71 ,6 
NorthDakota.1982,1.52 ,0.18 ,1.09 ,2.79 ,5 
NorthDakota.1981,1.53 ,0.18 ,1.14 ,2.85 ,5 
NorthDakota.1980,1.53 ,0.17 ,1.14 ,2.83 ,5 
NorthDakota.1979,1.45 ,0.16 ,1.10 ,2.71 ,6 
NorthDakota.1978,1.45 ,0.16 ,1.15 ,2.76 ,5 
NorthDakota.1977,1.35 ,0.15 ,1.12 ,2.62 ,6 
Ohio.2009,1.28 ,0.26 ,0.47 ,2.01 ,9 
Ohio.2008,1.32 ,0.26 ,0.46 ,2.04 ,9 
Ohio.2007,1.33 ,0.25 ,0.45 ,2.03 ,9 
Ohio.2006,1.32 ,0.24 ,0.44 ,2.00 ,9 
Ohio.2005,1.31 ,0.23 ,0.43 ,1.97 ,9 
Ohio.2004,1.33 ,0.22 ,0.41 ,1.96 ,9 
Ohio.2003,1.33 ,0.22 ,0.48 ,2.03 ,8 
Ohio.2002,1.34 ,0.21 ,0.47 ,2.02 ,8 
Ohio.2001,1.33 ,0.21 ,0.47 ,2.00 ,8 
Ohio.2000,1.30 ,0.19 ,0.50 ,1.99 ,8 
Ohio.1999,1.32 ,0.20 ,0.48 ,2.00 ,8 
Ohio.1998,1.31 ,0.19 ,0.47 ,1.97 ,8 
Ohio.1997,1.28 ,0.18 ,0.46 ,1.91 ,8 
Ohio.1996,1.30 ,0.18 ,0.45 ,1.93 ,8 
Ohio.1995,1.28 ,0.17 ,0.46 ,1.90 ,8 
Ohio.1994,1.31 ,0.16 ,0.37 ,1.85 ,9 
Ohio.1993,1.29 ,0.16 ,0.50 ,1.95 ,8 
Ohio.1992,1.32 ,0.17 ,0.50 ,1.98 ,8 
Ohio.1991,1.33 ,0.18 ,0.51 ,2.03 ,8 
